song_id,song_name,quality,audio_file_id,audio_file_unique_id,image_file_id,image_file_unique_id,album,artist,release_date,duration,download_url,image_url
CnTjxcNu,Jinguchaa,320kbps,CQACAgUAAxkDAAICZGhWBBbyMzgr8hVaU_R1642Xz6dtAAJtFgACp_SwVltt4UsQcJRpNgQ,AgADbRYAAqf0sFY,AgACAgUAAxkDAAP0aFUbGkOHGLUlLjUl3KUAAWYPokXsAAJxwzEbp_SoVh1XvKc96sHgAQADAgADeAADNgQ,AQADccMxG6f0qFZ9,"{'id': '64876372', 'name': 'Thug Life (Tamil)', 'url': 'https://www.jiosaavn.com/album/thug-life-tamil/9-hvThwL9Es_'}",,2025-05-24,260,http://aac.saavncdn.com/880/587cd237a1b8c6dc1d02d34fdb60e16d_320.mp4,
3wxma8Yp,Pottala Muttaye,320kbps,CQACAgUAAxkDAAICZ2hWBCzuusAPjqGRUvM5H9m0-BBSAAJwFgACp_SwVgER3o1ZJ4pnNgQ,AgADcBYAAqf0sFY,AgACAgUAAxkDAAIBFmhVVD4lu7Tgo8FWEnyrA0KXIjd5AAIhxDEbp_SoVrYTlga3LuLJAQADAgADeAADNgQ,AQADIcQxG6f0qFZ9,"{'id': '65289483', 'name': 'Pottala Muttaye (From &quot;Thalaivan Thalaivii&quot;)', 'url': 'https://www.jiosaavn.com/album/pottala-muttaye-from-thalaivan-thalaivii/1uRp71gq3eA_'}",,2025-06-09,226,http://aac.saavncdn.com/895/2511cb4b99cf6e5f56714ab4af0b2eb3_320.mp4,
1aVaBaho,Jodi Porutham,320kbps,CQACAgUAAxkDAAICamhWBEFQ_t_W_cGdIUhdTeJhQ6UDAAJyFgACp_SwVg9fEFaIVEDPNgQ,AgADchYAAqf0sFY,AgACAgUAAxkDAAP-aFU1C99XlzbTE6SEnRHRA5JX_fsAAufDMRun9KhWdtLBhdserR8BAAMCAAN4AAM2BA,AQAD58MxG6f0qFZ9,"{'id': '65236023', 'name': 'Jodi Porutham (From &quot;Aanpaavam Pollathathu&quot;)', 'url': 'https://www.jiosaavn.com/album/jodi-porutham-from-aanpaavam-pollathathu/CS25Uq2i1bQ_'}",,2025-06-09,225,https://aac.saavncdn.com/032/61602bd5583e92e7b040c4e19e112326_320.mp4,
3oGExh2J,Oru Manaiviyaai,320kbps,CQACAgUAAxkDAAICbWhWBF5VQ1qIyUNZjHWRF5K8iUG7AAJ0FgACp_SwVp9goXm0P_LhNgQ,AgADdBYAAqf0sFY,AgACAgUAAxkDAAIBI2hVlgiNihGK05LmERqwf1tKmT4UAALhwzEbp_SwVpc42nE4C6RvAQADAgADeAADNgQ,AQAD4cMxG6f0sFZ9,"{'id': '63791622', 'name': 'Peranbum Perungobamum', 'url': 'https://www.jiosaavn.com/album/peranbum-perungobamum/TpX3SCqiVSo_'}",,2025-04-14,303,http://aac.saavncdn.com/417/35b12d4a1b9b2ff0003b0b257f6a452e_320.mp4,
rb-S0CsM,God Bless U,320kbps,CQACAgUAAxkDAAICcGhWBHqwcBzZnXIs7LNIJInKLN4yAAJ3FgACp_SwVvC_fBZEuoxRNgQ,AgADdxYAAqf0sFY,AgACAgUAAxkDAAIBJWhVlh2iPtHjw2FmpZe_M6n6_7bFAALiwzEbp_SwVmc5wW_iOLjUAQADAgADeAADNgQ,AQAD4sMxG6f0sFZ9,"{'id': '63331554', 'name': 'God Bless U (From &quot;Good Bad Ugly&quot;)', 'url': 'https://www.jiosaavn.com/album/god-bless-u-from-good-bad-ugly/et2xg2nD4Rs_'}",,2025-03-30,240,http://aac.saavncdn.com/357/07dda897247efbae62cc913c642e1db7_320.mp4,
I6jncR_O,Manasilaayo,320kbps,CQACAgUAAxkDAAICc2hWBJWtK1j_aayeeopl91ImSMPuAAJ5FgACp_SwVrtmVXJY22MuNgQ,AgADeRYAAqf0sFY,AgACAgUAAxkDAAIBJ2hVlig1hM3VRv7p4JygaC05BGBqAALjwzEbp_SwVlzzWf6YKGhoAQADAgADeAADNgQ,AQAD48MxG6f0sFZ9,"{'id': '58811310', 'name': 'Vettaiyan', 'url': 'https://www.jiosaavn.com/album/vettaiyan/jslpqSyV8L0_'}",,2024-10-14,235,http://aac.saavncdn.com/803/54aa7ee23bad8894b04c1250a64a2f0a_320.mp4,
A_KJ7TO7,Dheema,320kbps,CQACAgUAAxkDAAICdmhWBK4qt_j8E64AAUxdHG_6k2k0jwACexYAAqf0sFYB-d6ViZn9YDYE,AgADexYAAqf0sFY,AgACAgUAAxkDAAIBKWhVljTfGle52huGYoi1eG896KKsAALkwzEbp_SwVjI5qHpEkOCcAQADAgADeAADNgQ,AQAD5MMxG6f0sFZ9,"{'id': '58839526', 'name': 'Dheema (From &quot;Love Insurance Kompany&quot;)', 'url': 'https://www.jiosaavn.com/album/dheema-from-love-insurance-kompany/bLssxNb,4fQ_'}",,2024-10-16,232,http://aac.saavncdn.com/651/5397403bde88ed978cc0ce56e348aae5_320.mp4,
TK0_1n9e,Kadharalz,320kbps,CQACAgUAAxkDAAICeWhWBM34oLl41w8suISrXIuVE4uNAAJ9FgACp_SwVnD_1czHqJj3NgQ,AgADfRYAAqf0sFY,AgACAgUAAxkDAAIBK2hVlkDO_BqLJHEWsdbxp8CJezb9AALlwzEbp_SwViZWMF051mG8AQADAgADeAADNgQ,AQAD5cMxG6f0sFZ9,"{'id': '54862342', 'name': 'Indian 2 (Original Motion Picture Soundtrack)', 'url': 'https://www.jiosaavn.com/album/indian-2-original-motion-picture-soundtrack/9dCuHzz5XS0_'}",,2024-06-01,239,http://aac.saavncdn.com/736/33a68d99f694dc23c4355fb8b75abed8_320.mp4,
ekr3NKPn,Dhinam Dhinamum,320kbps,CQACAgUAAxkDAAICfGhWBP3qu9vcuFUGeeq5SveEDqk-AAJ_FgACp_SwVsFBmLB7IZqDNgQ,AgADfxYAAqf0sFY,AgACAgUAAxkDAAIBLWhVlk89OZlRVT0-Fuxvh17ds5jnAALmwzEbp_SwVioP8cICHAN_AQADAgADeAADNgQ,AQAD5sMxG6f0sFZ9,"{'id': '59988615', 'name': 'Viduthalai 2 (Original Motion Picture Soundtrack)', 'url': 'https://www.jiosaavn.com/album/viduthalai-2-original-motion-picture-soundtrack/0pggPvFTzuo_'}",,2024-11-26,344,http://aac.saavncdn.com/887/3562c91acd443e72ad2b8216b0b16376_320.mp4,
6xXJnoAo,Chillanjirukkiye,320kbps,CQACAgUAAxkDAAICgGhWBRPgQbjHQrpECAVHHVV-KxP6AAKCFgACp_SwViB8-4r7CnrtNgQ,AgADghYAAqf0sFY,AgACAgUAAxkDAAIBL2hVlmJf1SmMir9LFFEKP42eJVffAALnwzEbp_SwVnIhHXmzCMzvAQADAgADeAADNgQ,AQAD58MxG6f0sFZ9,"{'id': '57520134', 'name': 'Lubber Pandhu', 'url': 'https://www.jiosaavn.com/album/lubber-pandhu/KOmId8S,rtc_'}",,2024-08-28,247,http://aac.saavncdn.com/230/576968a4c379a1a24b659033a62546bb_320.mp4,
